Series_Accession,Platform,Platform_Description,Sample,Drug,Disease,Tissue,PMID,Download,file_path,normalized
GSE30161,GPL570,Affymetrix Human Genome U133 Plus 2.0 Array,58,Carboplatin and Paclitaxel,Ovarian carcinoma,Ovarian cancer tissue,22348014,,,
GSE31245,GPL8300	,Affymetrix Human Genome U95 Version 2 Array,58,,epithelial ovarian cancer,ovarian cancer samples,16204010,,,
GSE186332,GPL24676,"Illumina NovaSeq 6000 (Homo sapiens)",57,Selinexor,Recurrent Glioblastoma,Resected tumor specimens,34728525,,,
GSE133120,GPL570,Affymetrix Human Genome U133 Plus 2.0 Array,57,Romidepsin,Cancer,Cancer cell lines,34050002; 35681624,,,
GSE143731,GPL16791,Illumina HiSeq 2500 (Homo sapiens),56,Bedaquiline,Bacterial infection (not specific),Host macrophages,32369020,,,
GSE56091,GPL11154; GPL15645; GPL18448,Illumina HiSeq 2000 (Candida albicans; Homo sapiens),56,,Candidiasis,Human tissue culture monolayers (HUVECs or OKF6-TERT2),25858952,,,
GSE18464,GPL2895,GE Healthcare/Amersham Biosciences CodeLink Human Whole Genome Bioarray,55,,Chronic unsuppressed HIV infection,CD14+ monocytes,20495440,,,
GSE154041,GPL18573,"Illumina NextSeq 500 (Homo sapiens)",71,Regorafenib,Glioblastoma,Tumor samples from patients with glioblastoma,32661549,,,
GSE70615,GPL18190,Affymetrix Human Gene 1.1 ST Array [CDF: Brainarray HuGene11stv1_Hs_ENTREZG_15.1.0],71,,,Cultured cells (cell line not specified),25582842,,,
GSE190266,GPL24676,Illumina NovaSeq 6000 (Homo sapiens),70,MEK inhibitor,Non-small cell lung cancer,Lung tumor,35051357,,,
GSE43900,GPL1261; GPL11154; GPL11533; GPL13112; GPL17400,Affymetrix Mouse Genome 430 2.0 Array; Illumina HiSeq 2000 (Homo sapiens & Mus musculus); Affymetrix Mouse Gene 1.1 ST Array [transcript (gene) version]; Affymetrix Mouse Gene 2.1 ST Array [transcript (gene) version],70,Topotecan,Autism spectrum disorder (ASD),Developing and adult brain,27459055,,,
GSE32989,GPL13376,Illumina HumanWG-6 v2.0 expression beadchip,69,EGFR inhibitors and PI3K/Akt pathway inhibitors,Non-small cell lung cancer (NSCLC),Lung,23091115,,,
GSE100568,GPL11154	,Illumina HiSeq 2000 (Homo sapiens),68,5-Aza-deoxycytidine (AZA),neuroblastoma; a pediatric cancer,tumor tissue from patients with neuroblastoma,28696319,,,
GSE59,GPL167; GPL169,10k_Print3; 10k_print2,68,,,cancer cell lines,10700174,,,
GSE154613,GPL18573,"Illumina NextSeq 500 (Homo sapiens)",66,DMSO; berbamine; terfenadine; loperamide; trifluoperazine; amlodipine; and RS-504393,Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2),Transformed lung alveolar (A549) cells and pancreatic organoids created from hESCs,,,,
GSE126895,GPL11154,Illumina HiSeq 2000 (Homo sapiens),66,etoposide,acute myeloid leukemia (AML),AML cell lines,31523390,,,
GSE101929,GPL570	,"Affymetrix Human Genome U133 Plus 2.0 Array",66,,Non-small cell lung cancer (NSCLC),Lung,29196495,,,
GSE145639,GPL15520; GPL18573,Illumina MiSeq (Homo sapiens); Illumina NextSeq 500 (Homo sapiens),65,Epigenetic therapy,Cancer,,33087935,,,
GSE93157,GPL19965,"nCounter PanCancer Immune Profiling Panel",65,PD-1 blockade therapy,Non-small cell lung carcinoma; head and neck squamous cell carcinoma; and melanoma,Tumor samples,28487385,,,
GSE63584,GPL11154; GPL18573,Illumina HiSeq 2000 (Homo sapiens); Illumina NextSeq 500 (Homo sapiens),65,BET bromodomain inhibitors,Triple-negative breast cancer (TNBC),Breast,26735014,,,
GSE64033,GPL10558,"Illumina HumanHT-12 V4.0 expression beadchip",65,PI3K inhibitors,Hormone receptor-positive breast cancer,Breast tissue,25877889,,,
GSE168859,GPL21290,"Illumina HiSeq 3000 (Homo sapiens)",64,Alemtuzumab (used in a clinical protocol to test therapy in refractory disease),T-cell large granular lymphocytosis (T-LGL),CD3+ T cells,35411048,,,
GSE89485,GPL11154; GPL13112; GPL18573	,Illumina HiSeq 2000 (Homo sapiens & Mus musculus); Illumina NextSeq 500 (Homo sapiens),64,,MLL-rearranged leukemia,,28065413,,,
GSE222886,GPL20301,"Illumina HiSeq 4000 (Homo sapiens)",63,Decitabine,Acute Myeloid Leukemia (AML),,32357061,,,
GSE174791,GPL21697,"NextSeq 550 (Homo sapiens)",63,,,CD4+ T cells,,,,
GSE7505,GPL5080,NHGRI Homo sapiens 6K,63,,,Human cancer cell lines (NCI60),18199535,,,
GSE4342,GPL96； GPL97	,Affymetrix Human Genome U133A & B Array,63,Gefitinib,Non-small cell lung cancer (NSCLC),NSCLC cell lines,16877703,,,
GSE138780,GPL18573,"Illumina NextSeq 500 (Homo sapiens)",62,trametinib,triple-negative breast cancer,breast cancer cell line,,,,
GSE115421,GPL11154； GPL24676,Illumina HiSeq 2000 (Homo sapiens); Illumina NovaSeq 6000 (Homo sapiens),62,rosiglitazone,type 2 diabetes,human adipose stem cell-derived adipocytes,30639037,,,
GSE99626,GPL16791; GPL18573; GPL20301,Illumina HiSeq 2500 & 4000(Homo sapiens); Illumina NextSeq 500 (Homo sapiens),62,Progesterone; Dexamethasone; DHT or Aldosterone (NR3C ligands),ER+ breast cancer,Breast cancer cell lines (ER+ MCF7 cells),,,,
GSE91392,GPL17586,Affymetrix Human Transcriptome Array 2.0 [transcript (gene) version],61,,Glioblastoma,Brain,28122246,,,
GSE161149,GPL21697; GPL22992; GPL24676,NextSeq 550 (Homo sapiens); TaqMan OpenArray Human MicroRNA Panel; Illumina NovaSeq 6000 (Homo sapiens),60,,Oesophageal Adenocarcinoma (OAC),Cell lines and patient serum samples,33255413,,,
GSE124074,GPL16791; GPL20301,Illumina HiSeq 2500 & 4000 (Homo sapiens),60,,Type 2 diabetes,Liver,29892037,,,
GSE124548,GPL20301,"Illumina HiSeq 4000 (Homo sapiens)",60,Lumacaftor/Ivacaftor,Cystic Fibrosis,whole-blood,,,,
GSE68936,GPL80v,"Affymetrix Human Full Length HuGeneFL Array",60,,Various cancers; including carcinoma; glioblastoma; lymphoma; adenocarcinoma; melanoma; and others.,Kidney; brain; blood; lung; skin; colon; breast; prostate; ovary.,11553813,,,
GSE37543,GPL6480,Agilent-014850 Whole Human Genome Microarray 4x44K G4112F (Probe Name version),60,bevacizumab,breast cancer,xenografts,23142657,,,
GSE28893,GPL6104,"Illumina humanRef-8 v2.0 expression beadchip",60,,,,23935528,,,
GSE3964,GPL3282	,"11K_VJF-ARRAY",60,folinic acid; 5-fluorouracil (5-FU); and irinotecan (CPT-11),Colorectal cancer,Tumor biopsies (including 9 tumor colons; 13 liver metastases; 6 adjacent non-tumoral colons),16542501,,,
GSE141335,GPL16791,Illumina HiSeq 2500 (Homo sapiens),60,ibrutinib,Mantle cell lymphoma,B-cell lymphoma,33730585,,,
GSE182959,GPL20301	,"Illumina HiSeq 4000 (Homo sapiens)",60,TPA (phorbol-12-myristate-13-acetate) and KL (K252a),Epidermal progenitor maintenance,Skin,35906225,,,
GSE29868,GPL570	,"Affymetrix Human Genome U133 Plus 2.0 Array",59,Atorvastatin,primary human hepatocytes,Hepatocytes and skeletal muscle tissue,21757465,,,
GSE21138,GPL570	,"Affymetrix Human Genome U133 Plus 2.0 Array",59,,Schizophrenia,Prefrontal cortex (specifically BA46) of the human brain,22832356; 22397921; 18778695,,,
GSE145325,GPL21290,Illumina HiSeq 3000 (Homo sapiens),58,Letrozole,ER+ breast cancer,Breast tumor (ER+ subtype),33127913,,,
GSE30161,GPL570	,"Affymetrix Human Genome U133 Plus 2.0 Array",58,Carboplatin and Taxol (paclitaxel),Ovarian carcinoma,Tumor (stage III-IV ovarian cancer patients),22348014,,,
GSE31245,GPL8300,[HG_U95Av2] Affymetrix Human Genome U95 Version 2 Array,57,,Epithelial Ovarian Cancer (EOC),Tumor tissue obtained at the time of diagnosis from patients with epithelial ovarian cancer (EOC).,16204010,,,
GSE133120,GPL570	,"Affymetrix Human Genome U133 Plus 2.0 Array",57,Romidepsin (histone deacetylase inhibitor),Cancer (specifically; the study analyzed 8 different cancer cell lines),Cancer cell lines from humans (specifically; HUT78; LOXIMVI; M14; A549; MDA231; ACHN; MiaPaca2; and PC3).,34050002; 35681624,,,
GSE143731,GPL16791,Illumina HiSeq 2500 (Homo sapiens),56,Isoniazid (INH); Rifampicin (RIF); Ethambutol (EMB); Pyrazinamide (PZA); and Amikacin (AMK),Tuberculosis (TB),Human macrophages,32369020,,,
GSE186332,GPL24676,Illumina NovaSeq 6000 (Homo sapiens),56,Selinexor,Recurrent Glioblastoma,Resected tumor specimens from patients with recurrent glioblastoma,34728525,,,
GSE56091,GPL11154; GPL15645; GPL18448,Illumina HiSeq 2000 (Candida albicans; Homo sapiens),55,,Candidiasis,Candida albicans; Homo sapiens,25858952,,,
GSE18464,GPL2895,GE Healthcare/Amersham Biosciences CodeLink Human Whole Genome Bioarray,55,Highly active antiretroviral therapies (HAART),HIV infection,Homo sapiens,23437063; 20495440,,,
GSE211856,GPL16791,Illumina HiSeq 2500 (Homo sapiens),54,Enzalutamide,prostate cancer,LNCaP xenografts,,,,
GSE152102,GPL16791,Illumina HiSeq 2500 (Homo sapiens),54,AZD1775,Breast cancer,Breast cancer cell lines,32628111,,,
GSE99878,GPL13158,[HT_HG-U133_Plus_PM] Affymetrix HT HG-U133+ PM Array Plate,54,tolvaptan,idiosyncratic drug-induced liver injury,liver hepatocytes,29029277,,,
GSE42236,GPL16025,NimbleGen Homo sapiens Expression Array [100718_HG18_opt_expr],54,Gelsemium sempervirens plant ethanolic extract,anxiolytic and antidepressant,SHSY5Y; IMR32 human neuroblastoma cells,24642002,,,
